Date,Open,High,Low,Close,Adj Close,Volume
01/09/2018,55.689999,55.689999,51.869999,52.5,33.933098,0
01/10/2018,52.450001,52.450001,47.959999,48.98,33.94062,0
01/11/2018,49.549999,50.860001,47.990002,49.450001,34.266308,0
01/12/2018,49.889999,49.889999,41.5,43.389999,30.067039,0
01/01/2019,43.470001,47.040001,43.009998,47.040001,34.078278,0
01/02/2019,47.049999,48.380001,46.82,48.110001,34.853439,0
01/03/2019,48.34,48.540001,47.040001,47.91,34.708549,0
01/04/2019,48.540001,49.200001,48.439999,49.02,35.512691,0
01/05/2019,48.720001,49.049999,46.279999,46.279999,33.527687,0
01/06/2019,46.459999,48.610001,46.459999,48.59,35.201176,0
01/07/2019,48.869999,49.459999,48.599998,49.029999,35.519932,0
01/08/2019,48.279999,48.279999,45.740002,46.779999,33.889912,0
01/09/2019,46.41,48.799999,44.689999,44.869999,32.506207,0
01/10/2019,44.459999,46.580002,43.450001,46.32,36.283524,0
01/11/2019,46.82,48.869999,46.82,48.549999,38.030338,0
01/12/2019,48.380001,50.040001,47.950001,50.040001,39.197487,0
01/01/2020,50.07,50.439999,47.860001,47.860001,37.805912,0
01/02/2020,48.060001,49.75,43.52,43.52,34.377628,0
01/03/2020,44.810001,45.299999,31.190001,36.009998,28.445272,0
01/04/2020,34.299999,41.419998,33.830002,40.59,32.063137,0
01/05/2020,39.52,42.5,38.880001,42.25,33.374416,0
01/06/2020,42.790001,46.189999,41.990002,42.93,33.911568,0
01/07/2020,42.740002,45.389999,42.48,44.779999,35.372932,0
01/08/2020,45.18,47.119999,45.18,46.860001,37.015984,0
01/09/2020,46.849998,47.59,41.880001,43.16,34.093254,0
01/10/2020,43.549999,45.240002,42.450001,42.450001,36.020306,0
01/11/2020,43.220001,49.220001,43.220001,48.139999,40.848469,0
01/12/2020,49.07,50.279999,47.25,48.630001,41.264252,0
01/01/2021,48.23,51.41,48.23,49.400002,43.903812,0
01/02/2021,49.889999,53.139999,49.889999,51.599998,45.859039,0
01/03/2021,52.75,55.810001,52.099998,55.349998,49.191818,0
01/04/2021,55.939999,57.93,55.939999,57.369999,50.987076,0
01/05/2021,57.919998,59.240002,57.16,58.869999,52.320187,0
01/06/2021,59.279999,59.610001,56.599998,58.110001,51.644745,0
01/07/2021,58.490002,58.650002,55.830002,58.049999,51.591423,0
01/08/2021,58.080002,59.029999,57.25,58.709999,52.17799,0
01/09/2021,58.68,59.02,52.48,52.630001,46.774445,0
01/10/2021,52.98,54.849998,52.59,54.080002,52.141582,0
01/11/2021,54.610001,55.900002,52.48,52.48,50.59893,0
01/12/2021,51.919998,54.889999,51.27,53.790001,51.861977,0
01/01/2022,54.09,54.599998,51.150002,52.369999,52.369999,0
01/02/2022,52.700001,53.810001,50.93,52.02,52.02,0
01/03/2022,51.139999,53.790001,50.130001,52.549999,52.549999,0
01/04/2022,52.759998,53.900002,50.349998,50.349998,50.349998,0
01/05/2022,50.380001,52.110001,48.299999,51.939999,51.939999,0
01/06/2022,51.709999,52.419998,46.240002,46.52,46.52,0
01/07/2022,46.799999,49.43,45.919998,49.43,49.43,0
